ID,Title,Date,Image URL,Type,Status,Labels,Country,Province,District,Sub Ditstrict,fave_property_location,fave_property_sec_price,fave_property_price_postfix,fave_property_size,fave_property_size_prefix,fave_property_id,fave_terms-and-conditions,fave_warehouse-length,fave_electricity-system,fave_clear-height3,fave_features3,fave_landlord-name,fave_landlord-contact,fave_agent-team,fave_exact_map_coordinates,fave_floor3,fave_property_land,fave_property_land_postfix,fave_remarks3,fave_property_price,Slug,Approve Status,Post Modified Date
4678,"Warehouse 288 sqm for RENT at Saphan Sung, Saphan Sung, Bangkok (Property ID: AT1R)",2021-02-09,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/5.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/6.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-1.jpg,Warehouse,For Rent,,Thailand,Bangkok,Saphan Sung,Saphan Sung,"13.538084,100.8025907,17",35000,month,288,sqm,AT1R,"minimum 1 years contract, 3 month’s deposit + 1-month rental advance",24 m x 12 m,Single Phase (Upgradable),7m,Detached building,Chumphol,029730100/0814266664,C,"13.744306, 100.707444",,,,,,warehouse-288-sqm-for-rent-at-saphan-sung-saphan-sung-bangkok-property-id-at1r,publish,2025-07-12
4688,"Warehouse 480 sqm for RENT at Khlong Song Ton Nun, Lat Krabang, Bangkok (Property ID: AT2R)",2021-02-10,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-2.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-1.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-1.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-1.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/5-1.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/6-1.jpg,Warehouse,For Rent,,Thailand,Bangkok,Lat Krabang,Khlong Song Ton Nun,"13.538084,100.8025907,12",52800,Month,480,sqm,AT2R,"minimum 3 year lease, 3 months deposit + 1 month advance",24 m x 20 m,3 Phase 15/45 Amp (Upgradable),8m,Security guard,Nam Logistics,27277627,A,"13.735946, 100.716805",2 tons per sqm,,,,,warehouse-480-sqm-for-rent-at-khlong-song-ton-nun-lat-krabang-bangkok-property-id-at2r,publish,2025-07-12
4696,"Factory or Warehouse 3,744 sqm for RENT at Bang Phriang, Bang Bo, Samut Prakan (Property ID: AT3R)",2021-02-10,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-40.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-3.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-2.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-2.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-2.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-39.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-33.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-33.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-29.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/5-23.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/6-10.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/7-7.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/8-6.jpg,Factory|Warehouse,For Rent,,Thailand,Samut Prakan,Bang Bo,Bang Phriang,"13.538084,100.8025907,15",486720,Month,3744,sqm,AT3R,"minimum 3 years contract, 3 month’s deposit + 1-month rental advance",78 m x 48 m,3 Phase 15/45 Amp (Upgradable),8m,With Office area|Detached building|Raised-floor loading bay,Atitaya SPLC,896001756,A,"13.543472, 100.779972",3 tons per sqm,4,rai,,,factory-or-warehouse-3744-sqm-for-rent-at-bang-phriang-bang-bo-samutprakan-property-id-at3r,publish,2025-10-30
4703,"Warehouse 600 sqm for RENT at Lat Krabang, Lat Krabang, Bangkok (Property ID: AT4R)",2021-02-10,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-4.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-3.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-3.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-3.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4.1.jpg,Warehouse,For Rent,,Thailand,Bangkok,Lat Krabang,Lat Krabang,"13.538084,100.8025907,13",78000,Month,600,sqm,AT4R,"minimum 3 years contract, 3 month’s deposit + 1-month rental advance",30m x 20m,Single Phase (Upgradable),7m,Security guard,Nuch Kantarat,819222528,A,"13.722306, 100.721333",2 tons per sqm,,,,,warehouse-600-sqm-for-rent-at-lat-krabang-lat-krabang-bangkok-property-id-at4r,publish,2025-07-12
4710,"Warehouse 675 sqm for RENT at Racha Thewa, Bang Phli, Samut Prakan (Property ID: AT5R)",2021-02-11,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-34.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-5.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-4.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-4.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-4.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/5-2.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/7.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/8.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-41.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-35.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-31.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/5-25.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/6-11.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/7-8.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/8-7.jpg,Warehouse,For Rent,,Thailand,Samut Prakan,Bang Phli,Racha Thewa,"13.538084,100.8025907,13",81000,Month,675,sqm,AT5R,"minimum 3 years contract, 3 months deposit + 1 month rental advance",30 m x 20 m,Single Phase (Upgradable),7m,With Office area|Security guard|On main road,Nuch Kantarat,819222528,A,"13.666806, 100.720583",2 tons per sqm,,,,,warehouse-675-sqm-for-rent-at-racha-thewa-bang-phli-samut-prakan-property-id-at5r,publish,2025-07-12
4724,"Warehouse 450 sqm for RENT at Khlong Song Ton Nun, Lat Krabang, Bangkok (Property ID: AT7R)",2021-02-12,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-7.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-6.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-6.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-5.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/5-3.jpg,Warehouse,For Rent,,Thailand,Bangkok,Lat Krabang,Khlong Song Ton Nun,"13.538084,100.8025907,15",45000,Month,450,sqm,AT7R,"minimum 3 years contract, 2 months deposit + 1 month rental advance",32m x 14m,Single Phase (Upgradable),7m,,Orn/House,0619299941/0830731531,A,"13.747278, 100.732667",3 tons per sqm,,,,,warehouse-450-sqm-for-rent-at-khlong-song-ton-nun-lat-krabang-bangkok-property-id-at7r,publish,2025-07-12
4749,"Warehouse 480 sqm for RENT at Khlong Song Ton Nun, Lat Krabang, Bangkok (Property ID: AT9R)",2021-02-12,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-10.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-9.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-9.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-8.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/5-5.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-11.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-10.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-10.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-9-e1613115774448.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/5-6.jpg,Warehouse,For Rent,,Thailand,Bangkok,Lat Krabang,Khlong Song Ton Nun,"13.538084,100.8025907,14",50000,Month,480,sqm,AT9R,"minimum 1 years contract, 3 months deposit + 1 month rental advance",24m x 20m,Single Phase (Upgradable),7m,Security guard,Chumphol,029730100/0814266664,A,"13.733833, 100.717139",2 tons per sqm,,,,,warehouse-480-sqm-for-rent-at-khlong-song-ton-nun-lat-krabang-bangkok-property-id-at9r,publish,2025-07-12
4761,"Warehouse 450 sqm for RENT at Khlong Song Ton Nun, Lat Krabang, Bangkok (Property ID: AT10R)",2021-02-12,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-12.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-11.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-11.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-10.jpg,Warehouse,For Rent,,Thailand,Bangkok,Lat Krabang,Khlong Song Ton Nun,"13.538084,100.8025907,15",50000,Month,450,sqm,AT10R,"minimum 1 years contract, 3 months deposit + 1 month rental advance",30m x 15m,Single Phase (Upgradable),7m,Security guard,Chumphol,029730100/0814266664,A,"13.749889, 100.717472",2 tons per sqm,,,,,warehouse-450-sqm-for-rent-at-khlong-song-ton-nun-lat-krabang-bangkok-property-id-at10r,publish,2025-07-12
4768,"Factory or Warehouse 504 sqm for RENT at Samrong Klang, Phra Pradaeng, Samut Prakan (Property ID: AT11R)",2021-02-16,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-19.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-13.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-12.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-12.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-11.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/5-7.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/6-2.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/7-1.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/8-1.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-18.jpg,Factory|Warehouse,For Rent,Purple zone,Thailand,Samut Prakan,Phra Pradaeng,Samrong Klang,"13.538084,100.8025907,16",70560,Month,504,sqm,AT11R,"3 year lease, 3 months deposit + 1 month advance",34 m x 21 m,Single Phase (Upgradable),6m,Security guard|Purple zone,Moo/Aree,027568866/0815837887,A,"13.645111, 100.591028",2 tons per sqm,,,,,warehouse-or-factory-504-sqm-for-rent-at-samrong-klang-phra-pradaeng-samut-prakan-property-id-at11r,publish,2025-07-12
4778,"Factory or Warehouse 525 sqm for RENT at Samrong Klang, Phra Pradaeng, Samut Prakan (Property ID: AT12R)",2021-02-16,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-16.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-14.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-13.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-13.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-12.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/5-8.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-15.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-14.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-14.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-13.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/5-9.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-17.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-15.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-15.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-14.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/5-10.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-34.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-30.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/5-24.jpg,Factory|Warehouse,For Rent,Purple zone,Thailand,Samut Prakan,Phra Pradaeng,Samrong Klang,"13.538084,100.8025907,15",52500,Month,525,sqm,AT12R,"minimum 3 years contract, 3 months deposit + 1 month rental advance",35 m x 15 m,3 Phase 15/45 Amp (Upgradable),6m,Security guard|Purple zone,Moo/Aree,027568866/0815837887,A,"13.644917, 100.587444",2 tons per sqm,,,Other size available : 900 sqm,,warehouse-or-factory-525-sqm-for-rent-at-samrong-klang-phra-pradaeng-samut-prakan-property-id-at12r,publish,2025-07-12
